C (%),H (%),O (%),S (%),N (%),H/C,O/C,N/C,Ash (%),SC (%),T (°C),RT (min),Mass_RS (g/mol),Polarity _RS (10-3),Mass_SE (g/mol),Polarity _SE (10-3),Yield_oil (%),N_oil (%),ER_oil (%)
47.6,6.8,28.8,0.9,5.4,1.71,0.45,0.1,10.5,20,360,15,18,1000,84.93,309,40.6,4.64,69.18
47.6,6.8,28.8,0.9,5.4,1.71,0.45,0.1,10.5,20,290,15,18,1000,84.93,309,38.9,4.55,61.63
47.6,6.8,28.8,0.9,5.4,1.71,0.45,0.1,10.5,20,325,0,18,1000,84.93,309,38.8,4.85,64.31
47.6,6.8,28.8,0.9,5.4,1.71,0.45,0.1,10.5,20,325,15,18,1000,84.93,309,42.8,4.84,70.14
47.6,6.8,28.8,0.9,5.4,1.71,0.45,0.1,10.5,20,360,15,18,1000,84.93,309,41.3,4.85,69.95
47.6,6.8,28.8,0.9,5.4,1.71,0.45,0.1,10.5,20,290,15,18,1000,84.93,309,37.5,4.75,61.01
47.6,6.8,28.8,0.9,5.4,1.71,0.45,0.1,10.5,20,325,0,18,1000,84.93,309,39.9,4.65,65.21
47.6,6.8,28.8,0.9,5.4,1.71,0.45,0.1,10.5,20,325,30,18,1000,84.93,309,40.3,4.64,67.03
47.6,6.8,28.8,0.9,5.4,1.71,0.45,0.1,10.5,20,325,30,18,1000,84.93,309,40.8,4.64,68.13
27.09,5.39,20.47,0,5.05,2.39,0.57,0.16,42,17.1,300,15,18,1000,84.93,309,12.24,5.5,31.94
36.79,7.84,27.84,1.63,7.58,2.56,0.57,0.18,18.32,10,320,60,18,1000,84.93,309,41.07,5.72,81.5
22.01,3.51,16.94,0.79,3.84,1.91,0.58,0.15,52.91,8.33,270,30,18,1000,84.93,309,7.34,6.34,23.65
22.01,3.51,16.94,0.79,3.84,1.91,0.58,0.15,52.91,8.33,290,30,18,1000,84.93,309,8.05,6.01,25.9
22.01,3.51,16.94,0.79,3.84,1.91,0.58,0.15,52.91,8.33,310,30,18,1000,84.93,309,9.85,5.81,32.89
22.01,3.51,16.94,0.79,3.84,1.91,0.58,0.15,52.91,8.33,330,30,18,1000,84.93,309,10.69,6.08,36.26
22.01,3.51,16.94,0.79,3.84,1.91,0.58,0.15,52.91,8.33,350,30,18,1000,84.93,309,11.44,5.5,39.33
29.33,5.74,23.37,0.91,5.04,2.35,0.6,0.15,35.61,10,250,20,18,1000,84.93,309,7.64,7.76,17.8
29.33,5.74,23.37,0.91,5.04,2.35,0.6,0.15,35.61,10,300,20,18,1000,84.93,309,11.97,6.91,28.95
29.33,5.74,23.37,0.91,5.04,2.35,0.6,0.15,35.61,10,350,20,18,1000,84.93,309,14.18,6.09,35.95
33.18,4.67,22.7,0.64,4.66,1.69,0.51,0.12,34.15,26.67,350,15,18,1000,58.08,529.41,25.73,5.89,55.64
47.23,6.41,33.5,0,3.16,1.63,0.53,0.06,9.7,16.9,350,15,18,1000,84.93,309,47.88,3.36,81.74
43.32,4.63,31.95,1.12,8.99,1.28,0.55,0.18,10,20,300,30,18,1000,84.93,309,18.9,3.78,27.59
38.41,3.53,38.89,1.23,8.53,1.1,0.76,0.19,9.4,20,300,30,18,1000,84.93,309,14,6.35,25.33
42.35,4.41,33.34,1.14,8.89,1.25,0.59,0.18,9.88,20,300,30,18,1000,84.93,309,17.92,7.78,27.53
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,250,10,18,1000,84.93,309,14.6,4.1,20.78
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,300,10,18,1000,84.93,309,24.7,7.49,32.79
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,350,10,18,1000,84.93,309,30.5,7.41,40.96
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,300,10,18,1000,84.93,309,19.4,6.63,24.44
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,300,10,18,1000,84.93,309,28.4,6.12,35.22
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,300,10,18,1000,84.93,309,24.5,4.52,29.51
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,300,10,18,1000,84.93,309,24.3,6.13,30.92
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,250,10,18,1000,84.93,309,13.6,4.51,17.91
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,300,10,18,1000,84.93,309,22.6,4.22,28.5
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,350,10,18,1000,84.93,309,32,6.47,40.9
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,300,10,18,1000,84.93,309,27.3,3.48,37.48
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,300,10,18,1000,84.93,309,33.2,5.32,42.15
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,250,10,18,1000,84.93,309,21.5,5.14,29.57
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,300,10,18,1000,84.93,309,31.4,4.71,42.05
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,350,10,18,1000,84.93,309,31.5,4.84,44.37
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,300,10,18,1000,84.93,309,29.7,4.01,41.85
