C (%),H (%),O (%),S (%),N (%),H/C,O/C,N/C,Ash (%),SC (%),T (°C),RT (min),Mass_RS (g/mol),Polarity _RS (10-3),Mass_SE (g/mol),Polarity _SE (10-3),Yield_oil (%),N_oil (%),ER_oil (%)
24.26,3.75,28.39,1.92,3.12,1.86,0.88,0.11,38.56,6.67,350,8,18,1000,84.93,309,16.6,7.02,30.2
28.68,4.64,32.39,2.14,4.83,1.94,0.85,0.15,27.33,6.67,350,8,18,1000,84.93,309,20,0.99,36.94
36.4,5.67,30.73,0.4,4.77,1.87,0.63,0.11,22.03,6.67,350,8,18,1000,84.93,309,35.9,6.5,54.36
35.96,5.65,31.55,1.73,6.23,1.89,0.66,0.15,18.88,6.67,350,8,18,1000,84.93,309,25.7,7.02,40.42
32.21,5.18,26.23,1.69,4.64,1.93,0.61,0.13,30.04,6.67,350,8,18,1000,84.93,309,38.6,6.26,57.97
46.98,7.15,32.6,0.98,6.86,1.83,0.52,0.13,5.43,6.67,350,8,18,1000,84.93,309,41.7,6.83,57.85
24.37,4.31,32.99,3.84,3.14,2.12,1.02,0.11,31.36,6.67,350,8,18,1000,84.93,309,32.6,6.56,66.83
30.9,5.25,38.82,4.05,3.96,2.04,0.94,0.11,17.02,6.67,350,8,18,1000,84.93,309,32.3,5.76,66.03
23.5,4.24,37.89,4,0.77,2.16,1.21,0.03,29.61,6.67,350,8,18,1000,84.93,309,34,2.73,80.49
27.92,4.98,44.96,4.56,0.93,2.14,1.21,0.03,16.67,6.67,350,8,18,1000,84.93,309,30.6,3.07,71.23
43.38,6.59,38.17,0.19,4.13,1.82,0.66,0.08,7.53,6.67,350,8,18,1000,84.93,309,35.6,5.4,52.49
43.5,6.56,38.4,0.19,4.12,1.81,0.66,0.08,7.22,6.67,350,8,18,1000,84.93,309,38.8,5.4,57.07
39.91,6.2,45.14,0.19,1.35,1.86,0.85,0.03,7.2,6.67,350,8,18,1000,84.93,309,32.2,2.25,52.53
30.98,6.03,32.84,0,4.62,2.34,0.8,0.13,25.54,14.28,280,120,18,1000,84.93,309,24.19,9.5,29.63
30.98,6.03,32.84,0,4.62,2.34,0.8,0.13,25.54,14.28,300,120,18,1000,84.93,309,27.1,7.4,33.25
30.98,6.03,32.84,0,4.62,2.34,0.8,0.13,25.54,14.28,320,120,18,1000,84.93,309,31.39,8.5,45.89
30.98,6.03,32.84,0,4.62,2.34,0.8,0.13,25.54,14.28,340,120,18,1000,84.93,309,29.16,8.5,33.37
30.98,6.03,32.84,0,4.62,2.34,0.8,0.13,25.54,14.28,360,120,18,1000,84.93,309,26.07,6.4,35.09
30.98,6.03,32.84,0,4.62,2.34,0.8,0.13,25.54,14.28,320,120,18,1000,84.93,309,30.61,6.3,33.74
30.98,6.03,32.84,0,4.62,2.34,0.8,0.13,25.54,14.28,320,120,18,1000,84.93,309,28.91,7.3,36.41
30.98,6.03,32.84,0,4.62,2.34,0.8,0.13,25.54,14.28,320,120,18,1000,84.93,309,31.59,7.3,33.6
30.98,6.03,32.84,0,4.62,2.34,0.8,0.13,25.54,14.28,320,120,18,1000,84.93,309,29.03,7.5,34.78
30.98,6.03,32.84,0,4.62,2.34,0.8,0.13,25.54,14.28,320,120,18,1000,84.93,309,26.85,6.9,32.41
14.65,1.58,34.23,0,2.05,1.29,1.75,0.12,47.5,25,300,60,18,1000,84.93,309,25.99,2.5,59.4
18.81,2.17,37.04,0,2.27,1.39,1.48,0.11,39.7,25,300,60,18,1000,84.93,309,25.28,3.53,53.33
23.49,2.87,39.26,0.01,2.47,1.46,1.25,0.09,31.9,25,300,60,18,1000,84.93,309,22.03,2.68,33.61
44.53,5.63,31.5,0.35,5.98,1.52,0.53,0.12,12,9.09,250,5,18,1000,84.93,309,35.7,4.16,53.59
44.53,5.63,31.5,0.35,5.98,1.52,0.53,0.12,12,9.09,375,5,18,1000,84.93,309,58.1,6.23,88.42
37.85,4.96,35.07,0.93,5.3,1.57,0.7,0.12,15.9,9.09,250,5,18,1000,84.93,309,29.4,5.41,41
37.85,4.96,35.07,0.93,5.3,1.57,0.7,0.12,15.9,9.09,375,5,18,1000,84.93,309,45.6,6.3,78.85
32.87,3.96,35.74,0.31,4.82,1.45,0.82,0.13,22.3,9.09,250,5,18,1000,84.93,309,33,5.64,58.79
32.87,3.96,35.74,0.31,4.82,1.45,0.82,0.13,22.3,9.09,375,5,18,1000,84.93,309,55.3,7.33,99.28
41.13,5.5,37.16,0.99,5.41,1.61,0.68,0.12,9.8,9.09,250,5,18,1000,84.93,309,24.7,5.12,38.05
41.13,5.5,37.16,0.99,5.41,1.61,0.68,0.12,9.8,9.09,375,5,18,1000,84.93,309,47.1,6.97,77.23
48.58,7.02,29.48,0.47,8.05,1.73,0.46,0.14,6.4,9.09,250,5,18,1000,84.93,309,44.8,5.41,61.23
48.58,7.02,29.48,0.47,8.05,1.73,0.46,0.14,6.4,9.09,375,5,18,1000,84.93,309,55.3,6.4,75.65
